,Spearman Correlation
estimated_delivery_days,0.522488858792931
sel2cust_dist,0.5105172633850273
freight_value_mean,0.43293860049099364
freight_value_median,0.43219340949115764
freight_value_min,0.43081132455140114
freight_value_max,0.42626507965207655
std_review_score,0.1449695738728947
payment_value,0.14099708505982422
price_min,0.11673954100148345
price_median,0.11450278324027116
price_mean,0.11428142735835062
price_max,0.11207781751622324
product_weight_g_min,0.09896313704722941
product_weight_g_median,0.09592353983642904
product_weight_g_mean,0.09547974245460271
payment_installments,0.09537905935498128
product_weight_g_max,0.09386537059614053
product_length_cm_min,0.07765371402230226
product_length_cm_median,0.07457310451742175
product_length_cm_mean,0.07427635783785104
product_length_cm_max,0.0723046008335271
product_height_cm_min,0.05810589196347725
product_height_cm_median,0.05501646529128833
product_height_cm_mean,0.05487287176101464
product_height_cm_max,0.05276342544679782
product_width_cm_min,0.04776770477901993
product_width_cm_median,0.044818844257619575
product_width_cm_mean,0.044407316486328625
product_width_cm_max,0.041930526666124415
category_count_ferramentas_jardim_sum,0.03657890937919437
category_share_ferramentas_jardim_sum,0.03654657477815432
category_share_cama_mesa_banho_sum,0.026812777037108913
category_count_informatica_acessorios_sum,0.026655003872598206
category_share_informatica_acessorios_sum,0.02663096733024929
category_count_cama_mesa_banho_sum,0.026014178744460464
category_share_moveis_decoracao_sum,0.0186794080038491
category_count_moveis_decoracao_sum,0.018228269936016412
category_share_telefonia_sum,0.01320000001454668
category_count_telefonia_sum,0.013130066416282933
category_share_relogios_presentes_sum,0.007977957102965803
category_count_relogios_presentes_sum,0.007725649778066319
product_description_lenght_min,0.002834694899615062
product_name_lenght_min,9.024646564732749e-05
product_description_lenght_median,-0.0005893572118837098
product_description_lenght_mean,-0.0008542761285718387
product_name_lenght_mean,-0.0025500807435366478
product_name_lenght_median,-0.002552573707131454
product_description_lenght_max,-0.0034355798314582636
product_name_lenght_max,-0.00681814610679378
category_share_esporte_lazer_sum,-0.008765507368596954
category_count_esporte_lazer_sum,-0.009032040986086797
category_share_other_category_sum,-0.014334863360101894
category_share_automotivo_sum,-0.015636919408682746
category_count_automotivo_sum,-0.015678280501725195
category_count_other_category_sum,-0.01713558896327405
max_review_score,-0.024217112484406163
product_photos_qty_min,-0.02767851433897218
category_share_beleza_saude_sum,-0.02953598788400869
category_count_beleza_saude_sum,-0.030046097668735686
product_photos_qty_median,-0.031174421175693877
freight_value_std,-0.03132686362867574
product_photos_qty_mean,-0.03177344670100628
product_photos_qty_max,-0.0335014456066016
product_length_cm_std,-0.03378212115479432
product_weight_g_std,-0.034373810213264216
product_height_cm_std,-0.036949680533210245
product_photos_qty_std,-0.0371509631870812
product_width_cm_std,-0.03830757456021813
product_name_lenght_std,-0.040257908438225506
price_std,-0.040511523760054964
product_description_lenght_std,-0.0406079961333783
category_share_utilidades_domesticas_sum,-0.04823238690208832
category_count_utilidades_domesticas_sum,-0.04855208810580478
min_review_score,-0.07576326544155486
avg_review_score,-0.1730408155232289
shipping_limit_days_min,
shipping_limit_days_max,
shipping_limit_days_mean,
shipping_limit_days_median,
payment_sequential,
