,Feature,Permutation Importance
79,sel2cust_dist,0.2183121326277342
78,estimated_delivery_days,0.10499893408791316
74,avg_review_score,0.05823158717907403
40,freight_value_min,0.041422198467645346
35,price_min,0.039724940625710636
73,payment_value,0.01667914653807081
42,freight_value_mean,0.016653722626063162
77,std_review_score,0.014793680523617935
41,freight_value_max,0.011497056799661887
43,freight_value_median,0.008362492232395324
38,price_median,0.0034460807552273765
37,price_mean,0.002818607001411544
36,price_max,0.002231742071205356
19,product_weight_g_std,0.002138531222261397
15,product_weight_g_min,0.001856369012406256
6,product_description_lenght_max,0.001781277589475072
16,product_weight_g_max,0.0017037932640883047
5,product_description_lenght_min,0.0016250135446967962
17,product_weight_g_mean,0.001396127398370406
67,category_share_other_category_sum,0.0006402194949403306
7,product_description_lenght_mean,0.0005301668527601499
18,product_weight_g_median,0.000524710190295874
57,category_count_relogios_presentes_sum,0.0004116395386451699
4,product_name_lenght_std,0.00040939551801014715
68,category_share_relogios_presentes_sum,0.00040440514251879336
8,product_description_lenght_median,0.00034752537680227125
9,product_description_lenght_std,0.00029773730748311467
55,category_count_moveis_decoracao_sum,0.0002419852176462456
69,category_share_telefonia_sum,0.00018740843039155575
75,min_review_score,0.00016657330649010315
29,product_height_cm_std,0.0001358198839665592
52,category_count_esporte_lazer_sum,8.936770397965921e-05
14,product_photos_qty_std,3.701027273609325e-05
44,freight_value_std,8.07875588595408e-06
39,price_std,6.041019558811201e-07
47,shipping_limit_days_mean,0.0
46,shipping_limit_days_max,0.0
45,shipping_limit_days_min,0.0
48,shipping_limit_days_median,0.0
71,payment_sequential,0.0
58,category_count_telefonia_sum,-7.231117092276751e-06
34,product_width_cm_std,-1.559710541628734e-05
66,category_share_moveis_decoracao_sum,-2.5216957238238803e-05
24,product_length_cm_std,-2.9939782543286775e-05
56,category_count_other_category_sum,-3.3256871748388314e-05
63,category_share_esporte_lazer_sum,-4.0936357277121525e-05
53,category_count_ferramentas_jardim_sum,-4.9674162866075734e-05
27,product_height_cm_mean,-6.530832386304475e-05
64,category_share_ferramentas_jardim_sum,-0.00020014322950986373
70,category_share_utilidades_domesticas_sum,-0.00022833101042400993
28,product_height_cm_median,-0.0002688006889209782
54,category_count_informatica_acessorios_sum,-0.00028752641372979947
62,category_share_cama_mesa_banho_sum,-0.0002883969368864481
60,category_share_automotivo_sum,-0.00031448331833107136
51,category_count_cama_mesa_banho_sum,-0.0003429198345124562
61,category_share_beleza_saude_sum,-0.0003497777709624228
65,category_share_informatica_acessorios_sum,-0.0003572128562565502
30,product_width_cm_min,-0.00038460264280941735
31,product_width_cm_max,-0.0004379193202912024
49,category_count_automotivo_sum,-0.0004420885383946582
72,payment_installments,-0.0004738653272892912
50,category_count_beleza_saude_sum,-0.0005451527047433014
25,product_height_cm_min,-0.0005635676701626902
22,product_length_cm_mean,-0.0005824209176237827
26,product_height_cm_max,-0.0006098733414440005
59,category_count_utilidades_domesticas_sum,-0.0006770934447385968
21,product_length_cm_max,-0.0007546890926090399
33,product_width_cm_median,-0.0007834336155585264
10,product_photos_qty_min,-0.0007950968804264936
13,product_photos_qty_median,-0.0008306318287320758
76,max_review_score,-0.0008407393648727113
32,product_width_cm_mean,-0.0008584294415270643
11,product_photos_qty_max,-0.0012358414297927057
12,product_photos_qty_mean,-0.0014035275573348605
2,product_name_lenght_mean,-0.0014872651306879537
23,product_length_cm_median,-0.0016231459108359768
20,product_length_cm_min,-0.001820031934184152
0,product_name_lenght_min,-0.002067610531184827
3,product_name_lenght_median,-0.0021847575551069863
1,product_name_lenght_max,-0.0023803893871646386
